omega_rad_s,y_fit,y_lo_68,y_hi_68
620.0220088035214,65.72590847667365,65.19774975083637,66.26756769132996
620.0860344137656,65.78963092501323,65.26118648990344,66.3316078701326
620.1500600240096,65.85346671404298,65.32451015949799,66.39584317139227
620.2140856342537,65.91741608919376,65.38786796273287,66.46071689685068
620.2781112444978,65.98147929631953,65.45153451913234,66.52570667465736
620.3421368547419,66.0456565816964,65.5153154350077,66.59081275665243
620.406162464986,66.10994819202169,65.57921096355878,66.65603539510363
620.4701880752301,66.1743543744121,65.64322135845919,66.72136391582922
620.5342136854742,66.23887537640282,65.70734687385573,66.78678146909763
620.5982392957183,66.30351144594574,65.77158776436713,66.85231605671517
620.6622649059624,66.3682628314088,65.83594428508366,66.91796793088008
620.7262905162065,66.43312978157365,65.9003925958228,66.98373734419918
620.7903161264505,66.49811254563474,65.96461761569783,67.04962454968661
620.8543417366947,66.563211373198,66.02895753662561,67.11562980076246
620.9183673469388,66.62842651427889,66.09341260936993,67.18175335125055
620.9823929571829,66.69375821930106,66.1579830851351,67.247995455377
621.0464185674269,66.75920673909476,66.22266921556451,67.3143563677683
621.1104441776711,66.82477232489558,66.28747125273972,67.38083634344994
621.1744697879152,66.89045522834213,66.35238944917872,67.44727712936364
621.2384953981592,66.95625570147487,66.41743617935245,67.51375436322236
621.3025210084033,67.0221739967347,66.48200831332744,67.57981335257767
621.3665466186475,67.08821036696025,66.54645346611956,67.6457045948887
621.4305722288916,67.15436506538714,66.61128481731528,67.71171160414512
621.4945978391356,67.22063834564538,66.67702820962336,67.77860471803098
621.5586234493798,67.28703046175848,66.74303010178677,67.84584342241928
621.6226490596239,67.3535416681406,66.80921946934393,67.91320240720856
621.6866746698679,67.42017221959509,66.87559660675716,67.98068192488792
621.750700280112,67.48692237131282,66.94209443996517,68.04828222828394
621.8147258903562,67.55379237886964,67.00837593130422,68.11600357055788
621.8787515006003,67.620782498225,67.07469665483455,68.18384620520351
621.9427771108443,67.68789298571906,67.14105968063265,68.25181038604399
622.0068027210884,67.75512409807195,67.2074619597738,68.31989636723038
622.0708283313326,67.82247609238021,67.27418854534183,68.38810440323776
622.1348539415766,67.8899492261153,67.34083040147895,68.45643474886302
622.1988795518207,67.95754375712195,67.40759228571177,68.52465957121107
622.2629051620648,68.02525994361478,67.47447445668679,68.5928275261737
622.326930772309,68.09309804417688,67.54147717345401,68.66035832332275
622.390956382553,68.16105831775714,67.60866155444411,68.7276403299127
622.4549819927971,68.22914102366819,67.6760700556492,68.796136335717
622.5190076030412,68.2973464215838,67.74360048612887,68.86470410341741
622.5830332132853,68.36567477153622,67.81153334272646,68.93299014758759
622.6470588235294,68.43412633391455,67.879933584365,69.0012571062095
622.7110844337735,68.50270136946125,67.9478231943091,69.06963928853318
