t,P,model,residu,sy,sx,sigma_eff
2483.19,38.7,38.70779998208835,-0.007799982088350532,0.05,0.1,0.050000005768841845
2520.36,39.0,38.93458158210245,0.06541841789754699,0.05,0.1,0.0500148430608043
2553.74,39.5,39.49734804399217,0.002651956007831302,0.05,0.1,0.05004413777990365
2585.06,40.3,40.24172480411395,0.058275195886047015,0.05,0.1,0.05006698122354126
2613.68,41.0,41.00449245135574,-0.0044924513557376144,0.05,0.1,0.0500719443552596
2653.72,42.0,42.01205033332716,-0.01205033332715999,0.05,0.1,0.05005030839678569
2681.91,42.5,42.558344584179686,-0.05834458417968591,0.05,0.1,0.050025362296061734
2710.96,42.7,42.89849158836347,-0.19849158836346703,0.05,0.1,0.05000525130647275
2734.32,42.9,42.978818065180974,-0.07881806518097534,0.05,0.1,0.05000001648954619
2767.33,42.6,42.78948447457835,-0.18948447457835016,0.05,0.1,0.05001182192869228
2798.18,42.3,42.32432472148143,-0.024324721481434608,0.05,0.1,0.05003564495761603
2813.98,41.9,42.00091530820054,-0.10091530820054118,0.05,0.1,0.05004800654317193
2827.12,41.5,41.70007760823707,-0.20007760823707343,0.05,0.1,0.0500564569361152
2845.06,41.2,41.258723421515086,-0.05872342151508292,0.05,0.1,0.05006358511119074
